rh_id,n_ref,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure
RH_fiche_57_,Ref_0057,,11,=11=,Chalabre,,Bibliothèque Municipale de Chalabre,,11230,4 Rue des Boulangers,,4 Rue des Boulangers 11230 Chalabre,,,,Bibliothèque,,04 68 69 49 06
RH_fiche_58_,Ref_0058,,11,=11=,Espéraza,,Médiathèque d'Espéraza,,11260,avenue de la gare,,avenue de la gare 11260 Espéraza,,,,Médiathèque,,04 68 74 13 51
RH_fiche_59_,Ref_0059,,11,=11=,Villerouge-Termenès,,Maison de services au public POM'S de Villerouge-Termenès,,11330,8 Rue du Couvent,,8 Rue du Couvent 11330 Villerouge-Termenès,,,,MSAP,,04 68 70 00 16
RH_fiche_60_,Ref_0060,,11,=11=,Tuchan,,Maison de services au public Tuchan,,11350,21 rue de la poste,,21 rue de la poste 11350 Tuchan,,,,MSAP,,
RH_fiche_61_,Ref_0061,,11,=11=,Trèbes,,Médiathèque de Trèbes,,11800,place de l'hôtel de ville,,place de l'hôtel de ville 11800 Trèbes,,,,Médiathèque,,04 68 78 51 33
RH_fiche_62_,Ref_0062,,11,=11=,Saint-Laurent de la Cabrerisse,,Médiathèque de Saint-Laurent de la Cabrerisse,,11220,22 avenue de narbonne,,22 avenue de narbonne 11220 Saint-Laurent de la Cabrerisse,,,,Médiathèque,,04 68 33 39 30
RH_fiche_63_,Ref_0063,,11,=11=,Saint-André de Roquelongue,,Médiathèque Milcom de Saint-André de Roquelongue,,11200,120 rue des écoles,,120 rue des écoles 11200 Saint-André de Roquelongue,,,,Médiathèque,,04 68 45 17 56
RH_fiche_64_,Ref_0064,,11,=11=,Limoux,,Espace Public Numérique de la MLIDR11 Limoux,,11300,5 avenue de la gare,,5 avenue de la gare 11300 Limoux,,,,,,04 68 74 70 90
RH_fiche_65_,Ref_0065,,11,=11=,Laroque de Fa,,Maison de services au public POM'S Laroque de Fa,,11330,6 rue de la mairie,,6 rue de la mairie 11330 Laroque de Fa,,,,MSAP,,04 68 70 08 27
RH_fiche_66_,Ref_0066,,11,=11=,Lanet,,Maison de services au public POM'S de Lanet,,11330,Place de la mairie,,Place de la mairie 11330 Lanet,,,,MSAP,,04 68 70 02 34
RH_fiche_67_,Ref_0067,,11,=11=,Mouthoumet,,ADHCo Centre Social,,11330,23 Rue de la Gare,,23 Rue de la Gare 11330 Mouthoumet,,,,Centre social,,04 68 70 18 50
RH_fiche_68_,Ref_0068,,11,=11=,Mouthoumet,,Maison de services au public POM'S de Mouthoumet,,11330,12 Rue de la Gare,,12 Rue de la Gare 11330 Mouthoumet,,,,MSAP,,04 68 42 12 95
RH_fiche_69_,Ref_0069,,11,=11=,Félines-Termenès,,Maison de services au public POM'S de Félines-Termenès,,11330,20 Avenue Termenès,,20 Avenue Termenès 11330 Félines-Termenès,,,,MSAP,,
RH_fiche_70_,Ref_0070,,11,=11=,Castelnaudary,,Mission Locale Ouest Audois,,11400,53 Boulevard Général Lapasset,,53 Boulevard Général Lapasset 11400 Castelnaudary,,,,Mission locale,,04 68 23 67
RH_fiche_71_,Ref_0071,,11,=11=,Castelnaudary,,Médiathèque Georges Canguilhem,,11400,8 Rue du Commandant Raynal,,8 Rue du Commandant Raynal 11400 Castelnaudary,,,,Médiathèque,,04 68 94 58 49
RH_fiche_72_,Ref_0072,,11,=11=,Carcassonne,,Espace de co-oworking : L'Alpha'[R],CARCASSONNE AGGLO,11000,20 Rue Claude Chappe,,20 Rue Claude Chappe 11000 Carcassonne,,,,,,
RH_fiche_73_,Ref_0073,,11,=11=,Carcassonne,,Ateliers Canopé,,11000,10 Boulevard Omer Sarraut,,10 Boulevard Omer Sarraut 11000 Carcassonne,,,Association,,,
RH_fiche_74_,Ref_0074,,11,=11=,Carcassonne,,Point Numérique,Préfecture de l'Aude,11000,52 Rue Jean Bringer,,52 Rue Jean Bringer 11000 Carcassonne,,,,,,04 68 10 27 00
RH_fiche_75_,Ref_0075,,11,=11=,Limoux,,Point Numérique,Préfecture de l'Aude,11300,12 rue du palais,,12 rue du palais 11300 Limoux,,,,,,04 68 31 03 50
RH_fiche_76_,Ref_0076,,11,=11=,Vignevieille,,Maison de services au public POM'S de Vignevieille,,11330,6 rue du lavoir,,6 rue du lavoir 11330 Vignevieille,,,,MSAP,,04 68 70 06 81
RH_fiche_77_,Ref_0077,,11,=11=,Quillan,,Bibliothèque Municipale de Quillan,,11500,9 Place Raoul de Volontat,,9 Place Raoul de Volontat 11500 Quillan,,,,Bibliothèque,,04 68 31 15 46
RH_fiche_78_,Ref_0078,,11,=11=,Villepinte,,Médiathèque de Villepinte,,11150,12 boulevard gambetta,,12 boulevard gambetta 11150 Villepinte,,,,Médiathèque,,01 55 85 96 33
RH_fiche_79_,Ref_0079,,11,=11=,Narbonne,,MEDIATHEQUE DU GRAND NARBONNE,Grand Narbonne,11100,9 Boulevard Frédéric Mistral,,9 Boulevard Frédéric Mistral 11100 Narbonne,,,,Médiathèque,,04 68 43 40 40
RH_fiche_80_,Ref_0080,,11,=11=,LES ILHES CABARDES,,Maison de Services au Public du Haut Cabardès,,11380,Route de Mas-Cabardès,,Route de Mas-Cabardès 11380 LES ILHES CABARDES,,,,MSAP,,04 68 26 33 22
RH_fiche_81_,Ref_0081,,11,=11=,Bram,,Pop Coworking,,11150,2 impasse de malepère,,2 impasse de malepère 11150 Bram,,,,,,06 67 32 58 10
RH_fiche_82_,Ref_0082,,11,=11=,SALLES-SUR-L’HERS,,Cowork'in Ganguise,,11410,Mairie,,Mairie 11410 SALLES-SUR-L’HERS,,,,,,06 77 87 39 84
RH_fiche_83_,Ref_0083,,11,=11=,Sainte-Valière,,Médiathèque Lo Gal,,11120,7 Place de l'Église,,7 Place de l'Église 11120 Sainte-Valière,,,,Médiathèque,,04 68 46 31 19
RH_fiche_84_,Ref_0084,,11,=11=,Rouffiac-d’Aude,,Médiathèque,Carcassonne Agglo,11250,Allée des Marronniers,,Allée des Marronniers 11250 Rouffiac-d’Aude,,,,Médiathèque,,04 68 26 48 95
RH_fiche_85_,Ref_0085,,11,=11=,CARCASSONNE,,LIEU RESSOURCES INSERTION,Ligue de l'enseignement,11000,16 rue Fédou,,16 rue Fédou 11000 CARCASSONNE,,,,,,04 68 25 99 88
RH_fiche_86_,Ref_0086,,11,=11=,Gruissan,,MJC de Gruissan,,11430,Montée du Pech,,Montée du Pech 11430 Gruissan,,,,,,04 68 49 61 87
RH_fiche_87_,Ref_0087,,11,=11=,Carcassonne,,MJC de Carcassonne,,11000,91 rue Aimé Ramond,,91 rue Aimé Ramond 11000 Carcassonne,,,,,,04 68 11 17 00
RH_fiche_88_,Ref_0088,,31,=31=,Arbas,,Bibliothèque municipale,Foyer rural,31160,Place de la Mairie,,Place de la Mairie 31160 Arbas,,,,Bibliothèque,,05 61 98 18 03
RH_fiche_89_,Ref_0089,,31,=31=,Auterive,,Le foyer Auterive,,31190,1 place du Maréchal Leclerc,,1 place du Maréchal Leclerc 31190 Auterive,,,,Centre social,,
RH_fiche_90_,Ref_0090,,31,=31=,Auterive,,Médiathèque municipale,,31190,780 Route d'Espagne,,780 Route d'Espagne 31190 Auterive,,,,,,05 82 95 45 75
RH_fiche_91_,Ref_0091,,31,=31=,Auterive,,Communauté de communes de bassin auterivain,,31190,ZI Robert Lavigne RD 820,,ZI Robert Lavigne RD 820 31190 Auterive,,,collectivité territoriale,,,05 61 50 99 00
RH_fiche_92_,Ref_0092,,31,=31=,Auterive,,France Service - CC Bassin Auterivain,Communauté de communes,31190,Rd 820 ZI Robert Lavigne,,Rd 820 ZI Robert Lavigne 31190 Auterive,,,collectivité territoriale,,,
RH_fiche_93_,Ref_0093,,31,=31=,Auterive,,TL ESPACE FIRMIN PONS,COMMUNE AUTERIVE,31190,780 route d'Espagne,,780 route d'Espagne 31190 Auterive,,,collectivité territoriale,,,05.61.50.96.87
RH_fiche_94_,Ref_0094,,31,=31=,Bagnères de Luchon,,MJC,,31110,,,31110 Bagnères de Luchon,,,,,,
RH_fiche_95_,Ref_0095,,31,=31=,Escalquens,,Le 100eme singe,,31750,13 avenue de la mairie,,13 avenue de la mairie 31750 Escalquens,,,Association,,,06 05 03 06 09
